sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3339847,97,0.0,0,0,0,0,0,3,4,5,1,,0,0.0,0.0,0,,,,,,
3524063,3,4.0,0,1,2,3,0,1,1,2,0,,0,0.73,0.78,0,,,,,,
3489358,129,2.0,0,0,0,200,10,34,121,163,0,,0,0.98,0.97,0,,,,,,
3440909,1,8.0,0,4,6,8,0,0,5,7,4,,0,0.0,0.0,0,,,,,,
3439180,29,12.0,0,0,0,0,1,8,21,41,8,,0,0.85,0.83,0,,,,,,
3415509,23,8.0,0,0,0,0,0,1,1,1,0,,0,0.65,0.71,0,,,,,,
3468234,38,8.0,1,28,53,78,13,32,59,82,0,,0,0.87,0.82,0,,,,,,
3285643,6,2.0,0,0,0,0,0,0,0,0,0,,0,0.9,0.9,0,,,,,,
3470034,3,8.0,0,0,0,0,0,0,0,0,1,,0,0.35,0.36,0,,,,,,
3496919,75,8.0,17,85,204,306,34,113,219,342,67,,0,0.97,0.98,0,,,,,,
3468761,14,2.0,0,0,0,0,0,1,2,4,0,,0,0.93,0.92,0,,,,,,
3436250,171,52.0,18,0,0,0,129,151,198,370,69,,0,0.91,0.84,0,,,,,,
3346310,39,6.0,0,8,20,38,3,28,48,104,4,,0,0.79,0.66,0,,,,,,
3393553,24,2.0,0,0,0,0,0,3,8,18,1,,0,0.84,0.82,0,,,,,,
3473159,81,8.0,5,64,96,160,22,69,149,243,69,,0,0.18,0.38,0,,,,,,
3305139,61,8.0,30,120,210,300,20,116,216,310,34,,0,0.96,0.96,0,,,,,,
3396585,5,8.0,0,0,0,0,1,2,2,5,1,,0,0.18,0.38,0,,,,,,
3422090,59,8.0,1,60,120,180,20,63,110,165,25,,0,0.94,0.94,0,,,,,,
3499460,14,2.0,0,0,0,0,0,3,4,8,0,,0,0.81,0.91,0,,,,,,
3409912,1736,8.0,0,0,0,0,1,1,2,4,0,,0,0.68,0.49,0,,,,,,
3487483,11,8.0,0,0,0,0,0,0,0,0,0,,0,0.82,0.81,0,,,,,,
3480618,21,9.0,0,0,0,0,0,2,2,2,0,,0,0.99,0.99,0,,,,,,
3388688,10,12.0,0,0,0,0,0,0,0,0,1,,0,0.48,0.48,0,,,,,,
3476290,161,2.0,0,0,0,0,0,0,0,0,0,,0,0.99,0.99,0,,,,,,
3305847,42,4.0,0,0,0,0,6,12,16,29,0,,0,0.73,0.78,0,,,,,,
3347008,20,2.0,0,0,0,0,0,0,0,0,0,,0,0.89,0.82,0,,,,,,
3456631,5,4.0,0,0,0,0,0,0,0,0,1,,0,0.22,0.15,0,,,,,,
